SalesTerritoryKey|SalesTerritoryAlternateKey|SalesTerritoryRegion|SalesTerritoryCountry|SalesTerritoryGroup|SalesTerritoryImage
1|1|Northwest|United States|North America|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
2|2|Northeast|United States|North America|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
3|3|Central|United States|North America|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
4|4|Southwest|United States|North America|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
5|5|Southeast|United States|North America|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
6|6|Canada|Canada|North America|0xFFD8FFE000104A46494600010101006000600000FFDB0043000201010201010202020202020202030503030303030604040305070607070706070708090B0908080A0807070A0D0A0A0B0C0C0C0C07090E0F0D0C0E0B0C0C0CFFDB004301020202030303060303060C0807080C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C
7|7|France|France|Europe|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
8|8|Germany|Germany|Europe|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
9|9|Australia|Australia|Pacific|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
10|10|United Kingdom|United Kingdom|Europe|0xFFD8FFE000104A46494600010101004800480000FFDB00430001010101010101010101010101010101010101010101010101010101010101010101010101010101010101020202020202020202020203030303030303030303FFDB004301010101010101020101020202010202030303030303030303030303030303030303
11|0|NA|NA|NA|